cruise,cast,niskin,station,data_check,sd_5_total,CV_5_tot,sd_20_total,CV_20_tot,size,mean_npp,depth_category,sd_npp,depth,depth_grp,latitude,longitude,temp_check,temp
EN649,5,15,L2,A,NA,NA,NA,NA,between520,9.847,NA,NA,3.698,"(1.5,3]",41.03012,-70.8854,Good,6.459022222
EN649,5,15,L2,A,NA,NA,NA,NA,greater20,11.506,NA,NA,3.698,"(1.5,3]",41.03012,-70.8854,Good,6.459022222
EN649,8,8,L8,A,NA,NA,NA,NA,total,0.008,D1,NA,69.648,"(70.5,72]",40.1278,-70.79673,Good,9.95915
EN649,8,8,L8,A,NA,NA,NA,NA,less20,0.008,D1,NA,69.648,"(70.5,72]",40.1278,-70.79673,Good,9.95915
EN649,8,8,L8,A,NA,NA,NA,NA,less5,0,D1,NA,69.648,"(70.5,72]",40.1278,-70.79673,Good,9.95915
EN649,8,8,L8,A,NA,NA,NA,NA,between520,0.008,NA,NA,69.648,"(70.5,72]",40.1278,-70.79673,Good,9.95915
EN649,8,8,L8,A,NA,NA,NA,NA,greater20,0,NA,NA,69.648,"(70.5,72]",40.1278,-70.79673,Good,9.95915
EN649,8,14,L8,A,NA,NA,NA,NA,total,4.095,D2,NA,29.305,"(27,28.5]",40.12642,-70.7991,Good,7.36476
EN649,8,14,L8,A,NA,NA,NA,NA,less20,2.931,D2,NA,29.305,"(27,28.5]",40.12642,-70.7991,Good,7.36476
EN649,8,14,L8,A,NA,NA,NA,NA,less5,2.204,D2,NA,29.305,"(27,28.5]",40.12642,-70.7991,Good,7.36476
EN649,8,14,L8,A,NA,NA,NA,NA,between520,0.727,NA,NA,29.305,"(27,28.5]",40.12642,-70.7991,Good,7.36476
EN649,8,14,L8,A,NA,NA,NA,NA,greater20,1.164,NA,NA,29.305,"(27,28.5]",40.12642,-70.7991,Good,7.36476
EN649,12,8,L10,A,NA,NA,NA,NA,total,0,D1,NA,111.333,"(110,111]",39.93916,-70.89649,Good,14.55316667
EN649,12,8,L10,A,NA,NA,NA,NA,less20,0,D1,NA,111.333,"(110,111]",39.93916,-70.89649,Good,14.55316667
EN649,12,8,L10,A,NA,NA,NA,NA,less5,0,D1,NA,111.333,"(110,111]",39.93916,-70.89649,Good,14.55316667
EN649,12,8,L10,A,NA,NA,NA,NA,between520,0,NA,NA,111.333,"(110,111]",39.93916,-70.89649,Good,14.55316667
EN649,12,8,L10,A,NA,NA,NA,NA,greater20,0,NA,NA,111.333,"(110,111]",39.93916,-70.89649,Good,14.55316667
EN649,12,12,L10,A,NA,NA,NA,NA,total,5.403,D2,NA,44.735,"(43.5,45]",39.9386,-70.89728,Good,13.696675
EN649,12,12,L10,A,NA,NA,NA,NA,less20,4.493,D2,NA,44.735,"(43.5,45]",39.9386,-70.89728,Good,13.696675
EN649,12,12,L10,A,NA,NA,NA,NA,less5,2.039,D2,NA,44.735,"(43.5,45]",39.9386,-70.89728,Good,13.696675
EN649,12,12,L10,A,NA,NA,NA,NA,between520,2.454,NA,NA,44.735,"(43.5,45]",39.9386,-70.89728,Good,13.696675
EN649,12,12,L10,A,NA,NA,NA,NA,greater20,0.91,NA,NA,44.735,"(43.5,45]",39.9386,-70.89728,Good,13.696675
EN649,12,17,L10,A,NA,NA,NA,NA,total,5.458,D3,NA,16.856,"(16.5,18]",39.93818,-70.89964,Good,13.68875
EN649,12,17,L10,A,NA,NA,NA,NA,less20,5.404,D3,NA,16.856,"(16.5,18]",39.93818,-70.89964,Good,13.68875
