cruise,cast,niskin,mean_nitr,mean_ammon,mean_phos,mean_sil,sd_nitr,sd_phos,sd_ammon,sd_sil,date,latitude,longitude,depth_grp,depth
EN608,12,14,5.6696462685,1.0466323370000001,0.629025382,2.803150398,0.016134422414753012,0.006220812919681988,0.29714054594049943,0.0032408287700970095,2018-02-02T09:30:24Z,40.3565,-70.88006,"(13.5,15]",14.597
EN608,12,18,5.2404233945000005,1.2175610620000001,0.589953875,2.6180390945000003,0.558609543861513,0.0512302228797932,0.14960922567095394,0.2686286647983484,2018-02-02T09:32:47Z,40.35614,-70.88002,"(3,4.5]",4.76
EN608,14,1,14.079930025,0.989819351,0.9454787105,8.6620377315,0.03442009841732665,7.318604682755677e-4,0.03393913004161779,0.015483957715167201,2018-02-02T15:24:27Z,40.21386,-70.89621,"(118,120]",120.295
EN608,14,5,12.650032205,1.248906158,0.8549156155,6.8834924025,0.024380907465024124,0.002927441165995353,0.0595666356491751,0.006481656833087179,2018-02-02T15:26:58Z,40.21336,-70.89682,"(100,102]",103.931
EN608,14,9,5.851932888,0.7099174420000001,0.4727393555,2.47544992,0.10254321543675138,0.0018296508171354604,0.09454471909860374,0.02376607529035485,2018-02-02T15:29:27Z,40.21308,-70.89774,"(76.5,78]",78.719
EN608,14,13,4.672774242,0.9494135635000001,0.44686418549999996,1.8218313285,0.004661055568537291,0.0128075557199483,0.0010389527007042387,0.01044266961718183,2018-02-02T15:31:47Z,40.21317,-70.89875,"(66,67.5]",67.054
EN608,14,17,4.555390786,1.444323239,0.498873277,2.130689666,0.0014341709441653204,0.023419530742176738,0.056103459980161134,0.36009204376845827,2018-02-02T15:34:31Z,40.21264,-70.89941,"(37.5,39]",39.928
EN608,14,22,4.5358691315,1.149728316,0.4742918655,1.8424558345,0.006812311277678432,0.004025231514855324,0.18597257938798814,0.00720184084708482,2018-02-02T15:39:42Z,40.2123,-70.90126,"(4.5,6]",6.882
EN608,15,1,13.981561169999999,0.9432914745000001,0.878203269,7.1819111745,0.014341709441651947,0.0021955806977198636,0.09973948401633821,0.00936239288907837,2018-02-02T19:08:22Z,40.1237,-70.80062,"(128,129]",128.747
EN608,15,3,8.988327557,1.122546241,0.57546378,4.0859437215,0.026890703788886076,0,0.022164329938543257,0.014763773701168617,2018-02-02T19:11:22Z,40.1229,-70.80176,"(88.5,90]",90.731
EN608,15,5,4.7506073325,1.1602583095,0.391750073,1.7283844949999998,0.02509798940157196,0.0036593016342709598,0.09489103666550515,0.014403681694169796,2018-02-02T19:13:54Z,40.12236,-70.80281,"(58.5,60]",60.48
EN608,15,8,4.715873998999999,0.6494312025,0.4199540085,1.733986212,0.14234145630891165,0.002561510578304267,0.07203407159315899,0.0036009200699891474,2018-02-02T19:15:58Z,40.1218,-70.80358,"(40.5,42]",42.337
EN608,15,11,4.492769375,0.8529294405,0.41503772650000004,1.7230374005,0.14162437083682838,0.011709765371088369,0.13818074313478082,0.016204141729164213,2018-02-02T19:17:58Z,40.121339999999996,-70.80432,"(33,34.5]",34.152
EN608,15,15,4.3961752135,0.9903091184999999,0.457473005,1.783383176,0.002868341181223801,0.002927441873102193,0.05402555387164589,0.002880736055991192,2018-02-02T19:21:06Z,40.12068,-70.80541,"(13.5,15]",14.387
EN608,15,19,4.4080910285,0.8259922495,0.467823073,1.8134287525000001,0.011114824110174393,0,0.366750393858242,0.020885338527256977,2018-02-02T19:23:19Z,40.12008,-70.80616,"(4.5,6]",6.252
EN608,19,1,19.723462915,1.208745254,1.329983736,11.896520384999999,2.598717568393981,0.1317348588337541,0.4543687594974975,1.4598131462802022,2018-02-03T17:57:55Z,39.76652,-70.88725,"(496,498]",497.705
EN608,19,3,23.850898465,1.1744615555,1.555097715,12.944550815,0.0014341751868063583,0.0036593016342709992,0.020779058963831084,0.009362397838825622,2018-02-03T18:03:22Z,39.7656,-70.88762,"(298,300]",300.111
EN608,19,5,14.080004915,1.113093888,0.8809707835,5.740197075,0.041485042684466435,0.03099268891641187,0.19206755417067664,0.07062852079596214,2018-02-03T18:07:26Z,39.76484,-70.8878,"(168,170]",169.368
EN608,19,7,6.76308591,0.7291397264999999,0.540247218,2.9812011075,0.030906384412447623,0.0025334787441776254,0.09727917809609125,0.003941913122828163,2018-02-03T18:10:17Z,39.76454,-70.88838,"(97.5,99]",99.576
EN608,19,9,5.5331567075,1.081735597,0.4867599285,2.1001440525,0.023718852578187292,0.005066958195462091,0.019455835194954068,0.017201074609396596,2018-02-03T18:12:45Z,39.76432,-70.88898,"(63,64.5]",64.658
EN608,19,11,4.403603958,1.088359508,0.5005796105,1.7874536855,0.8247692095688464,0.027506345600819167,0.08358803447029432,0.012184094014121847,2018-02-03T18:14:30Z,39.76402,-70.88918,"(52.5,54]",54.634
