cruise,cast,niskin,station,data_check,size,mean_npp,depth_category,sd_npp,depth,depth_grp,temp_check,temp_dif
EN649,19,21,L6,A,less20,11.317,D4,NA,3.98,"(1.5,3]",Good,-0.098650215
EN649,19,21,L6,A,less5,4.67,D4,NA,3.98,"(1.5,3]",Good,-0.098650215
EN649,19,21,L6,A,between520,6.647,NA,NA,3.98,"(1.5,3]",Good,-0.098650215
EN649,19,21,L6,A,greater20,0.509,NA,NA,3.98,"(1.5,3]",Good,-0.098650215
EN649,21,7,L4,A,total,0.513,D1,NA,37.397,"(36,37.5]",Good,1.398660714
EN649,21,7,L4,A,less20,0.16,D1,NA,37.397,"(36,37.5]",Good,1.398660714
EN649,21,7,L4,A,less5,0.138,D1,NA,37.397,"(36,37.5]",Good,1.398660714
EN649,21,7,L4,A,between520,0.022,NA,NA,37.397,"(36,37.5]",Good,1.398660714
EN649,21,7,L4,A,greater20,0.353,NA,NA,37.397,"(36,37.5]",Good,1.398660714
EN649,21,14,L4,A,total,5.663,D2,NA,15.371,"(13.5,15]",Good,1.876835714
EN649,21,14,L4,A,less20,2.11,D2,NA,15.371,"(13.5,15]",Good,1.876835714
EN649,21,14,L4,A,less5,1.12,D2,NA,15.371,"(13.5,15]",Good,1.876835714
EN649,21,14,L4,A,between520,0.99,NA,NA,15.371,"(13.5,15]",Good,1.876835714
EN649,21,14,L4,A,greater20,3.553,NA,NA,15.371,"(13.5,15]",Good,1.876835714
EN649,21,20,L4,A,total,9.046,D3,NA,3.196,"(1.5,3]",Good,1.877313492
EN649,21,20,L4,A,less20,4.209,D3,NA,3.196,"(1.5,3]",Good,1.877313492
EN649,21,20,L4,A,less5,2.276,D3,NA,3.196,"(1.5,3]",Good,1.877313492
EN649,21,20,L4,A,between520,1.933,NA,NA,3.196,"(1.5,3]",Good,1.877313492
EN649,21,20,L4,A,greater20,4.837,NA,NA,3.196,"(1.5,3]",Good,1.877313492
EN655,2,6,L2,A,total,6.842,D1,NA,30.206,"(28.5,30]",Good,3.692366379
EN655,2,6,L2,A,less20,4.101,D1,NA,30.206,"(28.5,30]",Good,3.692366379
EN655,2,6,L2,A,less5,1.003,D1,NA,30.206,"(28.5,30]",Good,3.692366379
EN655,2,6,L2,A,between520,3.098,NA,NA,30.206,"(28.5,30]",Good,3.692366379
EN655,2,6,L2,A,greater20,2.741,NA,NA,30.206,"(28.5,30]",Good,3.692366379
EN655,2,9,L2,A,total,41.396,D2,NA,20.408,"(19.5,21]",Good,3.023001379
EN655,2,9,L2,A,less20,18.959,D2,NA,20.408,"(19.5,21]",Good,3.023001379
EN655,2,9,L2,A,less5,6.494,D2,NA,20.408,"(19.5,21]",Good,3.023001379
EN655,2,9,L2,A,between520,12.465,NA,NA,20.408,"(19.5,21]",Good,3.023001379
EN655,2,9,L2,A,greater20,22.437,NA,NA,20.408,"(19.5,21]",Good,3.023001379
EN655,2,17,L2,A,total,21.5313,D3,0.4849,1.931,"(1.5,3]",Good,3.622625078
EN655,2,17,L2,A,less20,18.633,D3,NA,1.931,"(1.5,3]",Good,3.622625078
EN655,2,17,L2,A,less5,16.436,D3,NA,1.931,"(1.5,3]",Good,3.622625078
EN655,2,17,L2,A,between520,2.197,NA,NA,1.931,"(1.5,3]",Good,3.622625078
EN655,2,17,L2,A,greater20,2.8983,NA,NA,1.931,"(1.5,3]",Good,3.622625078
EN655,7,11,L4,A,total,20.908,D2,NA,23.297,"(22.5,24]",Good,4.410621799
EN655,7,11,L4,A,less20,19.917,D2,NA,23.297,"(22.5,24]",Good,4.410621799
EN655,7,11,L4,A,less5,17.667,D2,NA,23.297,"(22.5,24]",Good,4.410621799
EN655,7,11,L4,A,between520,2.25,NA,NA,23.297,"(22.5,24]",Good,4.410621799
EN655,7,11,L4,A,greater20,0.991,NA,NA,23.297,"(22.5,24]",Good,4.410621799
EN655,7,15,L4,A,total,38.1,D3,NA,14.075,"(13.5,15]",Good,1.338281799
EN655,7,15,L4,A,less20,37.92,D3,NA,14.075,"(13.5,15]",Good,1.338281799
EN655,7,15,L4,A,less5,32.023,D3,NA,14.075,"(13.5,15]",Good,1.338281799
EN655,7,15,L4,A,between520,5.897,NA,NA,14.075,"(13.5,15]",Good,1.338281799
EN655,7,15,L4,A,greater20,0.18,NA,NA,14.075,"(13.5,15]",Good,1.338281799
EN655,7,20,L4,A,total,20.9997,D4,0.9238,1.809,"(0,1.5]",Good,1.768684818
EN655,7,20,L4,A,less20,13.389,D4,NA,1.809,"(0,1.5]",Good,1.768684818
EN655,7,20,L4,A,less5,9.49,D4,NA,1.809,"(0,1.5]",Good,1.768684818
EN655,7,20,L4,A,between520,3.899,NA,NA,1.809,"(0,1.5]",Good,1.768684818
EN655,7,20,L4,A,greater20,7.6107,NA,NA,1.809,"(0,1.5]",Good,1.768684818
EN655,12,7,L10,A,total,0.958,D1,NA,70.293,"(69,70.5]",Good,0.544610623
EN655,12,7,L10,A,less20,0.645,D1,NA,70.293,"(69,70.5]",Good,0.544610623
EN655,12,7,L10,A,less5,0.373,D1,NA,70.293,"(69,70.5]",Good,0.544610623
EN655,12,7,L10,A,between520,0.272,NA,NA,70.293,"(69,70.5]",Good,0.544610623
EN655,12,7,L10,A,greater20,0.313,NA,NA,70.293,"(69,70.5]",Good,0.544610623
EN655,12,11,L10,A,total,13.654,D2,NA,50.015,"(49.5,51]",Good,0.706902289
EN655,12,11,L10,A,less20,9.878,D2,NA,50.015,"(49.5,51]",Good,0.706902289
EN655,12,11,L10,A,less5,6.41,D2,NA,50.015,"(49.5,51]",Good,0.706902289
EN655,12,11,L10,A,between520,3.468,NA,NA,50.015,"(49.5,51]",Good,0.706902289
EN655,12,11,L10,A,greater20,3.776,NA,NA,50.015,"(49.5,51]",Good,0.706902289
EN655,12,12,L10,A,total,5.879,D3,NA,22.971,"(21,22.5]",Bad,-3.719989377
EN655,12,12,L10,A,less20,3.961,D3,NA,22.971,"(21,22.5]",Bad,-3.719989377
EN655,12,12,L10,A,less5,3.01,D3,NA,22.971,"(21,22.5]",Bad,-3.719989377
EN655,12,12,L10,A,between520,0.951,NA,NA,22.971,"(21,22.5]",Bad,-3.719989377
EN655,12,12,L10,A,greater20,1.918,NA,NA,22.971,"(21,22.5]",Bad,-3.719989377
EN661,1,11,L1,A,total,11.921,D2,NA,10.878,"(9,10.5]",Good,2.095103746
EN661,1,11,L1,A,less20,3.593,D2,NA,10.878,"(9,10.5]",Good,2.095103746
EN661,1,11,L1,A,less5,0.549,D2,NA,10.878,"(9,10.5]",Good,2.095103746
EN661,1,11,L1,A,between520,3.044,NA,NA,10.878,"(9,10.5]",Good,2.095103746
EN661,1,11,L1,A,greater20,8.328,NA,NA,10.878,"(9,10.5]",Good,2.095103746
EN661,1,17,L1,A,total,53.0677,D3,0.4072,1.273,"(0,1.5]",Good,1.959574655
EN661,1,17,L1,A,less20,19.957,D3,NA,1.273,"(0,1.5]",Good,1.959574655
EN661,1,17,L1,A,less5,6.469,D3,NA,1.273,"(0,1.5]",Good,1.959574655
EN661,1,17,L1,A,between520,13.488,NA,NA,1.273,"(0,1.5]",Good,1.959574655
EN661,1,17,L1,A,greater20,33.1107,NA,NA,1.273,"(0,1.5]",Good,1.959574655
EN661,2,9,L2,A,total,1.443,D1,NA,24.094,"(22.5,24]",Good,2.906490896
EN661,2,9,L2,A,less20,1.037,D1,NA,24.094,"(22.5,24]",Good,2.906490896
EN661,2,9,L2,A,less5,0.226,D1,NA,24.094,"(22.5,24]",Good,2.906490896
EN661,2,9,L2,A,between520,0.811,NA,NA,24.094,"(22.5,24]",Good,2.906490896
EN661,2,9,L2,A,greater20,0.406,NA,NA,24.094,"(22.5,24]",Good,2.906490896
EN661,2,13,L2,A,total,1.764,D2,NA,15.162,"(13.5,15]",Good,3.034475896
EN661,2,13,L2,A,less20,0.897,D2,NA,15.162,"(13.5,15]",Good,3.034475896
EN661,2,13,L2,A,less5,0.277,D2,NA,15.162,"(13.5,15]",Good,3.034475896
EN661,2,13,L2,A,between520,0.62,NA,NA,15.162,"(13.5,15]",Good,3.034475896
EN661,2,13,L2,A,greater20,0.867,NA,NA,15.162,"(13.5,15]",Good,3.034475896
EN661,2,18,L2,A,total,12.946,D3,0.7463,3.362,"(1.5,3]",Good,3.096030896
EN661,2,18,L2,A,less20,6.104,D3,NA,3.362,"(1.5,3]",Good,3.096030896
EN661,2,18,L2,A,less5,2.253,D3,NA,3.362,"(1.5,3]",Good,3.096030896
