cruise,date,latitude,longitude,cast,niskin,depth,depth_grp
EN608,2018-02-02 09:32:47+00:00,40.35614,-70.88002,12,18,4,"(3,4.5]"
EN608,2018-02-02 09:32:54+00:00,40.35612,-70.87999,12,19,4,"(3,4.5]"
EN608,2018-02-02 09:32:59+00:00,40.35612,-70.87998,12,20,4,"(3,4.5]"
EN608,2018-02-02 09:33:07+00:00,40.3561,-70.87996,12,21,4,"(3,4.5]"
EN608,2018-02-02 09:33:15+00:00,40.35608,-70.87994,12,22,4,"(3,4.5]"
EN608,2018-02-02 15:24:27+00:00,40.21386,-70.89621,14,1,120,"(118,120]"
EN608,2018-02-02 15:24:34+00:00,40.21383,-70.89626,14,2,119,"(118,120]"
EN608,2018-02-02 15:24:42+00:00,40.2138,-70.8963,14,3,118,"(116,117]"
EN608,2018-02-02 15:24:49+00:00,40.21376,-70.89636,14,4,117,"(116,117]"
EN608,2018-02-02 15:26:58+00:00,40.21336,-70.89682,14,5,103,"(100,102]"
EN608,2018-02-02 15:27:05+00:00,40.21332,-70.89682,14,6,101,"(100,102]"
EN608,2018-02-02 15:27:11+00:00,40.2133,-70.89686,14,7,99,"(97.5,99]"
EN608,2018-02-02 15:27:19+00:00,40.2133,-70.89688,14,8,99,"(97.5,99]"
EN608,2018-02-02 15:29:27+00:00,40.21308,-70.89774,14,9,78,"(76.5,78]"
EN608,2018-02-02 15:29:34+00:00,40.21308,-70.89778,14,10,78,"(76.5,78]"
EN608,2018-02-02 15:29:41+00:00,40.21307,-70.89782,14,11,77,"(76.5,78]"
EN608,2018-02-02 15:29:48+00:00,40.21306,-70.89788,14,12,76,"(76.5,78]"
EN608,2018-02-02 15:31:47+00:00,40.21317,-70.89875,14,13,67,"(66,67.5]"
EN608,2018-02-02 15:31:54+00:00,40.21318,-70.89878,14,14,66,"(66,67.5]"
EN608,2018-02-02 15:32:01+00:00,40.21318,-70.8988,14,15,67,"(66,67.5]"
EN608,2018-02-02 15:32:08+00:00,40.21318,-70.89883,14,16,65,"(66,67.5]"
EN608,2018-02-02 15:34:31+00:00,40.21264,-70.89941,14,17,39,"(37.5,39]"
EN608,2018-02-02 15:34:39+00:00,40.21262,-70.89945,14,18,40,"(37.5,39]"
EN608,2018-02-02 15:34:46+00:00,40.2126,-70.8995,14,19,39,"(37.5,39]"
EN608,2018-02-02 15:34:53+00:00,40.21257,-70.89952,14,20,40,"(37.5,39]"
EN608,2018-02-02 15:39:35+00:00,40.2123,-70.90122,14,21,6,"(4.5,6]"
EN608,2018-02-02 15:39:42+00:00,40.2123,-70.90126,14,22,6,"(4.5,6]"
EN608,2018-02-02 15:39:47+00:00,40.2123,-70.9013,14,23,6,"(4.5,6]"
EN608,2018-02-02 15:39:54+00:00,40.21228,-70.90133,14,24,6,"(4.5,6]"
EN608,2018-02-02 19:08:22+00:00,40.1237,-70.80062,15,1,128,"(128,129]"
EN608,2018-02-02 19:08:31+00:00,40.12367,-70.8007,15,2,128,"(128,129]"
EN608,2018-02-02 19:11:22+00:00,40.1229,-70.80176,15,3,90,"(88.5,90]"
EN608,2018-02-02 19:11:30+00:00,40.12286,-70.8018,15,4,90,"(88.5,90]"
EN608,2018-02-02 19:13:54+00:00,40.12236,-70.80281,15,5,60,"(58.5,60]"
EN608,2018-02-02 19:14:02+00:00,40.12234,-70.80284,15,6,59,"(58.5,60]"
EN608,2018-02-02 19:14:09+00:00,40.12234,-70.80289,15,7,58,"(58.5,60]"
EN608,2018-02-02 19:15:58+00:00,40.1218,-70.80358,15,8,42,"(40.5,42]"
EN608,2018-02-02 19:16:05+00:00,40.12178,-70.80362,15,9,41,"(40.5,42]"
EN608,2018-02-02 19:16:12+00:00,40.12174,-70.80369,15,10,42,"(40.5,42]"
EN608,2018-02-02 19:17:58+00:00,40.12134,-70.80432,15,11,34,"(33,34.5]"
EN608,2018-02-02 19:18:04+00:00,40.12132,-70.80435,15,12,34,"(33,34.5]"
EN608,2018-02-02 19:18:11+00:00,40.12131,-70.80436,15,13,34,"(33,34.5]"
EN608,2018-02-02 19:18:18+00:00,40.12128,-70.80442,15,14,35,"(33,34.5]"
EN608,2018-02-02 19:21:06+00:00,40.12068,-70.80541,15,15,14,"(13.5,15]"
EN608,2018-02-02 19:21:14+00:00,40.12064,-70.80546,15,16,14,"(13.5,15]"
EN608,2018-02-02 19:21:21+00:00,40.12062,-70.8055,15,17,15,"(13.5,15]"
EN608,2018-02-02 19:21:30+00:00,40.12058,-70.80556,15,18,15,"(13.5,15]"
EN608,2018-02-02 19:23:19+00:00,40.12008,-70.80616,15,19,6,"(4.5,6]"
EN608,2018-02-02 19:23:26+00:00,40.12004,-70.8062,15,20,6,"(4.5,6]"
EN608,2018-02-02 19:23:33+00:00,40.12001,-70.80623,15,21,6,"(4.5,6]"
EN608,2018-02-02 19:23:39+00:00,40.11998,-70.80627,15,22,6,"(4.5,6]"
EN608,2018-02-02 19:23:45+00:00,40.11996,-70.80632,15,23,6,"(4.5,6]"
EN608,2018-02-02 19:23:53+00:00,40.11992,-70.80636,15,24,5,"(4.5,6]"
EN608,2018-02-03 00:34:21+00:00,40.09466,-70.66817,16,1,36,"(34.5,36]"
EN608,2018-02-03 00:34:29+00:00,40.09464,-70.66822,16,2,36,"(34.5,36]"
EN608,2018-02-03 00:37:41+00:00,40.09432,-70.66957,16,3,5,"(4.5,6]"
EN608,2018-02-03 00:37:48+00:00,40.0943,-70.66964,16,4,5,"(4.5,6]"
EN608,2018-02-03 13:01:19+00:00,39.7713,-70.67842,17,1,85,"(84,85.5]"
EN608,2018-02-03 13:01:31+00:00,39.77126,-70.67848,17,2,85,"(84,85.5]"
EN608,2018-02-03 13:01:41+00:00,39.77124,-70.67849,17,3,85,"(84,85.5]"
EN608,2018-02-03 13:05:56+00:00,39.7706,-70.67977,17,4,8,"(7.5,9]"
EN608,2018-02-03 13:06:04+00:00,39.77059,-70.6798,17,5,8,"(7.5,9]"
EN608,2018-02-03 13:06:14+00:00,39.77057,-70.67983,17,6,8,"(7.5,9]"
EN608,2018-02-03 16:01:29+00:00,39.76962,-71.10559,18,1,151,"(150,152]"
EN608,2018-02-03 16:01:38+00:00,39.7696,-71.10562,18,2,151,"(150,152]"
EN608,2018-02-03 16:01:48+00:00,39.76958,-71.10564,18,3,152,"(150,152]"
EN608,2018-02-03 16:07:41+00:00,39.7691,-71.10666,18,4,6,"(4.5,6]"
EN608,2018-02-03 16:07:50+00:00,39.76908,-71.10668,18,5,5,"(4.5,6]"
EN608,2018-02-03 16:08:00+00:00,39.76906,-71.10669,18,6,6,"(4.5,6]"
EN608,2018-02-03 17:57:55+00:00,39.76652,-70.88725,19,1,497,"(496,498]"
EN608,2018-02-03 17:58:03+00:00,39.7665,-70.88728,19,2,498,"(496,498]"
EN608,2018-02-03 18:03:22+00:00,39.7656,-70.88762,19,3,300,"(298,300]"
EN608,2018-02-03 18:03:30+00:00,39.76558,-70.88762,19,4,300,"(298,300]"
EN608,2018-02-03 18:07:26+00:00,39.76484,-70.8878,19,5,169,"(168,170]"
EN608,2018-02-03 18:07:33+00:00,39.76482,-70.88782,19,6,169,"(168,170]"
EN608,2018-02-03 18:10:17+00:00,39.76454,-70.88838,19,7,99,"(97.5,99]"
EN608,2018-02-03 18:10:24+00:00,39.76454,-70.8884,19,8,99,"(97.5,99]"
EN608,2018-02-03 18:12:45+00:00,39.76432,-70.88898,19,9,64,"(63,64.5]"
EN608,2018-02-03 18:12:51+00:00,39.76429,-70.889,19,10,64,"(63,64.5]"
EN608,2018-02-03 18:14:30+00:00,39.76402,-70.88918,19,11,54,"(52.5,54]"
EN608,2018-02-03 18:14:38+00:00,39.76398,-70.8892,19,12,54,"(52.5,54]"
EN608,2018-02-03 18:14:45+00:00,39.76394,-70.88922,19,13,54,"(52.5,54]"
EN608,2018-02-03 18:14:52+00:00,39.76392,-70.88922,19,14,54,"(52.5,54]"
EN608,2018-02-03 18:17:18+00:00,39.76352,-70.8898,19,15,24,"(22.5,24]"
EN608,2018-02-03 18:17:26+00:00,39.7635,-70.88984,19,16,25,"(22.5,24]"
EN608,2018-02-03 18:17:33+00:00,39.76348,-70.88985,19,17,24,"(22.5,24]"
EN608,2018-02-03 18:20:11+00:00,39.7632,-70.88985,19,18,4,"(1.5,3]"
EN608,2018-02-03 18:20:18+00:00,39.76318,-70.88984,19,19,3,"(1.5,3]"
EN608,2018-02-03 18:20:24+00:00,39.76316,-70.88982,19,20,3,"(1.5,3]"
EN608,2018-02-03 18:20:30+00:00,39.76316,-70.8898,19,21,4,"(1.5,3]"
EN608,2018-02-03 18:20:37+00:00,39.76314,-70.8898,19,22,4,"(1.5,3]"
EN608,2018-02-03 18:20:43+00:00,39.76314,-70.88978,19,23,3,"(1.5,3]"
EN608,2018-02-03 18:20:50+00:00,39.76312,-70.88978,19,24,4,"(1.5,3]"
EN608,2018-02-03 21:20:22+00:00,39.92668,-70.768,20,1,463,"(460,462]"
EN608,2018-02-03 21:20:32+00:00,39.92664,-70.76796,20,2,462,"(460,462]"
EN608,2018-02-03 21:20:38+00:00,39.92662,-70.76793,20,3,462,"(460,462]"
EN608,2018-02-03 21:20:45+00:00,39.92658,-70.76792,20,4,462,"(460,462]"
EN608,2018-02-03 21:20:51+00:00,39.92656,-70.7679,20,5,462,"(460,462]"
EN608,2018-02-03 21:21:01+00:00,39.92652,-70.76787,20,6,462,"(460,462]"
EN608,2018-02-03 21:32:29+00:00,39.92304,-70.77047,20,7,5,"(4.5,6]"
EN608,2018-02-03 22:50:27+00:00,39.9304,-70.8875,21,1,456,"(454,456]"
EN608,2018-02-03 22:50:35+00:00,39.93038,-70.8875,21,2,456,"(454,456]"
EN608,2018-02-03 22:56:36+00:00,39.9292,-70.88688,21,3,298,"(297,298]"
EN608,2018-02-03 22:56:42+00:00,39.92918,-70.88684,21,4,298,"(297,298]"
EN608,2018-02-03 23:07:06+00:00,39.92689,-70.8864,21,5,159,"(159,160]"
EN608,2018-02-03 23:07:15+00:00,39.92688,-70.8864,21,6,160,"(159,160]"
EN608,2018-02-03 23:07:23+00:00,39.92686,-70.8864,21,7,160,"(159,160]"
EN608,2018-02-03 23:10:44+00:00,39.92622,-70.88645,21,8,98,"(97.5,99]"
EN608,2018-02-03 23:10:51+00:00,39.92619,-70.88644,21,9,99,"(97.5,99]"
EN608,2018-02-03 23:13:37+00:00,39.92551,-70.88635,21,10,64,"(63,64.5]"
EN608,2018-02-03 23:13:44+00:00,39.92548,-70.88634,21,11,64,"(63,64.5]"
EN608,2018-02-03 23:16:18+00:00,39.92486,-70.88626,21,12,30,"(28.5,30]"
EN608,2018-02-03 23:16:25+00:00,39.92484,-70.88626,21,13,30,"(28.5,30]"
EN608,2018-02-03 23:16:31+00:00,39.92482,-70.88626,21,14,30,"(28.5,30]"
EN608,2018-02-03 23:16:38+00:00,39.9248,-70.88626,21,15,30,"(28.5,30]"
EN608,2018-02-03 23:18:35+00:00,39.92439,-70.88626,21,16,14,"(13.5,15]"
EN608,2018-02-03 23:18:42+00:00,39.92436,-70.88625,21,17,14,"(13.5,15]"
EN608,2018-02-03 23:18:49+00:00,39.92432,-70.88622,21,18,14,"(13.5,15]"
EN608,2018-02-03 23:20:44+00:00,39.9239,-70.88616,21,19,5,"(4.5,6]"
EN608,2018-02-03 23:20:51+00:00,39.92387,-70.88616,21,20,5,"(4.5,6]"
EN608,2018-02-03 23:20:58+00:00,39.92384,-70.88616,21,21,5,"(4.5,6]"
EN608,2018-02-03 23:21:06+00:00,39.92382,-70.88616,21,22,4,"(4.5,6]"
EN608,2018-02-03 23:21:12+00:00,39.92378,-70.88616,21,23,5,"(4.5,6]"
EN608,2018-02-03 23:21:19+00:00,39.92376,-70.88616,21,24,5,"(4.5,6]"
EN608,2018-02-04 03:20:45+00:00,40.0841,-70.85508,22,1,146,"(146,147]"
EN608,2018-02-04 03:20:54+00:00,40.08408,-70.85504,22,2,147,"(146,147]"
EN608,2018-02-04 03:23:32+00:00,40.08362,-70.85428,22,3,130,"(128,129]"
EN608,2018-02-04 03:23:39+00:00,40.0836,-70.85424,22,4,129,"(128,129]"
EN608,2018-02-04 03:26:37+00:00,40.08298,-70.85335,22,5,100,"(99,100]"
EN608,2018-02-04 03:26:51+00:00,40.08295,-70.85329,22,6,100,"(99,100]"
EN608,2018-02-04 03:26:58+00:00,40.08292,-70.85324,22,7,100,"(99,100]"
EN608,2018-02-04 03:29:28+00:00,40.08244,-70.85259,22,8,80,"(79.5,81]"
EN608,2018-02-04 03:29:36+00:00,40.08242,-70.85255,22,9,81,"(79.5,81]"
EN608,2018-02-04 03:35:21+00:00,40.08139,-70.8508,22,10,59,"(58.5,60]"
EN608,2018-02-04 03:35:30+00:00,40.08137,-70.85075,22,11,59,"(58.5,60]"
EN608,2018-02-04 03:35:39+00:00,40.08134,-70.8507,22,12,59,"(58.5,60]"
EN608,2018-02-04 03:38:15+00:00,40.08084,-70.84986,22,13,41,"(40.5,42]"
EN608,2018-02-04 03:38:27+00:00,40.0808,-70.84981,22,14,41,"(40.5,42]"
EN608,2018-02-04 03:38:38+00:00,40.08077,-70.84976,22,15,41,"(40.5,42]"
EN608,2018-02-04 03:41:50+00:00,40.08024,-70.84886,22,16,19,"(18,19.5]"
EN608,2018-02-04 03:42:00+00:00,40.08022,-70.84882,22,17,19,"(18,19.5]"
EN608,2018-02-04 03:42:08+00:00,40.0802,-70.84876,22,18,19,"(18,19.5]"
EN608,2018-02-04 03:44:44+00:00,40.07988,-70.84775,22,19,5,"(4.5,6]"
EN608,2018-02-04 03:44:54+00:00,40.07986,-70.84769,22,20,5,"(4.5,6]"
EN608,2018-02-04 03:45:02+00:00,40.07984,-70.84764,22,21,7,"(4.5,6]"
EN608,2018-02-04 03:45:10+00:00,40.07982,-70.84758,22,22,6,"(4.5,6]"
